[2025-09-29 07:06:38] STEP: FILE_LOAD | MESSAGE: Plugin file loaded | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: PLUGIN_INIT | MESSAGE: About to initialize plugin | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: FINAL_INIT | MESSAGE: Calling plugin initialization | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: PLUGIN_FUNCTION | MESSAGE: Plugin function called | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_1 | MESSAGE: Instance method called | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_2 | MESSAGE: Creating new instance | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_3 | MESSAGE: Constructor started | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_4 | MESSAGE: Starting hook registration | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_5 | MESSAGE: Activation hook registered | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_6 | MESSAGE: Deactivation hook registered | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_7 | MESSAGE: Uninstall hook registered | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_8 | MESSAGE: Textdomain hook registered | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_9 | MESSAGE: Init hook registered | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_10 | MESSAGE: REST API hook registered | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_11 | MESSAGE: Legacy AJAX test connection hook registered | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_12 | MESSAGE: Legacy AJAX validate code hook registered | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_13 | MESSAGE: Registering admin hooks | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_14 | MESSAGE: Admin init hook registered | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_15 | MESSAGE: Admin notices hook registered | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_16 | MESSAGE: Plugin action links filter registered | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_17 | MESSAGE: Cleanup expired codes hook registered | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_18 | MESSAGE: Cleanup analytics hook registered | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_19 | MESSAGE: All hooks registered successfully | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_20 | MESSAGE: Hooks initialized | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_21 | MESSAGE: Starting file includes | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_22 | MESSAGE: Including: includes/functions.php | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_23 | MESSAGE: Successfully included: includes/functions.php | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_24 | MESSAGE: Including: includes/class-database-manager.php | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_25 | MESSAGE: Successfully included: includes/class-database-manager.php | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_26 | MESSAGE: Including: includes/class-security-validator.php | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_27 | MESSAGE: Successfully included: includes/class-security-validator.php | MEMORY: 60 MB | PEAK: 60 MB
[2025-09-29 07:06:38] STEP: STEP_28 | MESSAGE: Including: includes/class-rate-limiter.php | MEMORY: 60 MB | PEAK: 60 MB
