[2025-09-24 12:00:32] DB_STEP: CONSTRUCTOR_START | MESSAGE: Database Manager constructor started | MEMORY: 42 MB | PEAK: 42 MB
[2025-09-24 12:00:32] DB_STEP: CONSTRUCTOR_END | MESSAGE: Database Manager constructor completed | MEMORY: 42 MB | PEAK: 42 MB
[2025-09-24 12:00:32] DB_STEP: CONSTRUCTOR_PREVENTED | MESSAGE: Constructor called but instance already created - preventing recursion | MEMORY: 42 MB | PEAK: 42 MB
[2025-09-24 12:00:32] DB_STEP: CONSTRUCTOR_PREVENTED | MESSAGE: Constructor called but instance already created - preventing recursion | MEMORY: 42 MB | PEAK: 42 MB
[2025-09-24 12:00:32] DB_STEP: CONSTRUCTOR_PREVENTED | MESSAGE: Constructor called but instance already created - preventing recursion | MEMORY: 42 MB | PEAK: 42 MB
[2025-09-24 12:00:32] DB_STEP: CONSTRUCTOR_PREVENTED | MESSAGE: Constructor called but instance already created - preventing recursion | MEMORY: 42 MB | PEAK: 42 MB
[2025-09-24 12:00:32] DB_STEP: CONSTRUCTOR_PREVENTED | MESSAGE: Constructor called but instance already created - preventing recursion | MEMORY: 42 MB | PEAK: 42 MB
[2025-09-24 12:00:32] DB_STEP: CONSTRUCTOR_PREVENTED | MESSAGE: Constructor called but instance already created - preventing recursion | MEMORY: 42 MB | PEAK: 42 MB
[2025-09-24 12:00:32] DB_STEP: CONSTRUCTOR_PREVENTED | MESSAGE: Constructor called but instance already created - preventing recursion | MEMORY: 42 MB | PEAK: 42 MB
[2025-09-24 12:00:32] DB_STEP: CONSTRUCTOR_PREVENTED | MESSAGE: Constructor called but instance already created - preventing recursion | MEMORY: 42 MB | PEAK: 42 MB
[2025-09-24 12:00:32] DB_STEP: CONSTRUCTOR_PREVENTED | MESSAGE: Constructor called but instance already created - preventing recursion | MEMORY: 42 MB | PEAK: 42 MB
[2025-09-24 12:00:32] DB_STEP: CONSTRUCTOR_PREVENTED | MESSAGE: Constructor called but instance already created - preventing recursion | MEMORY: 42 MB | PEAK: 42 MB
[2025-09-24 12:00:32] DB_STEP: CONSTRUCTOR_PREVENTED | MESSAGE: Constructor called but instance already created - preventing recursion | MEMORY: 42 MB | PEAK: 42 MB
[2025-09-24 12:00:32] DB_STEP: CONSTRUCTOR_PREVENTED | MESSAGE: Constructor called but instance already created - preventing recursion | MEMORY: 42 MB | PEAK: 42 MB
[2025-09-24 12:00:32] DB_STEP: CONSTRUCTOR_PREVENTED | MESSAGE: Constructor called but instance already created - preventing recursion | MEMORY: 42 MB | PEAK: 42 MB
